id,name,parentId,level
11,北京市,,1
12,天津市,,1
13,河北省,,1
14,山西省,,1
15,内蒙古自治区,,1
21,辽宁省,,1
22,吉林省,,1
23,黑龙江省,,1
31,上海市,,1
32,江苏省,,1
33,浙江省,,1
34,安徽省,,1
35,福建省,,1
36,江西省,,1
37,山东省,,1
41,河南省,,1
42,湖北省,,1
43,湖南省,,1
44,广东省,,1
45,广西壮族自治区,,1
46,海南省,,1
50,重庆市,,1
51,四川省,,1
52,贵州省,,1
53,云南省,,1
54,西藏自治区,,1
61,陕西省,,1
62,甘肃省,,1
63,青海省,,1
64,宁夏回族自治区,,1
65,新疆维吾尔自治区,,1
6501,乌鲁木齐市,65,2
6502,克拉玛依市,65,2
6504,吐鲁番市,65,2
6505,哈密市,65,2
6523,昌吉回族自治州,65,2
6527,博尔塔拉蒙古自治州,65,2
6528,巴音郭楞蒙古自治州,65,2
6529,阿克苏地区,65,2
6530,克孜勒苏柯尔克孜自治州,65,2
6531,喀什地区,65,2
6532,和田地区,65,2
6540,伊犁哈萨克自治州,65,2
6542,塔城地区,65,2
6543,阿勒泰地区,65,2
6590,自治区直辖县级行政区划,65,2
6401,银川市,64,2
6402,石嘴山市,64,2
6403,吴忠市,64,2
6404,固原市,64,2
6405,中卫市,64,2
6201,兰州市,62,2
6202,嘉峪关市,62,2
6203,金昌市,62,2
6204,白银市,62,2
6205,天水市,62,2
6206,武威市,62,2
6207,张掖市,62,2
6208,平凉市,62,2
6209,酒泉市,62,2
6210,庆阳市,62,2
6211,定西市,62,2
6212,陇南市,62,2
6229,临夏回族自治州,62,2
6230,甘南藏族自治州,62,2
